"","MA1","MA2","QU1","QU2","QY3","QY4","TH1","TH2","UA1","UA2","UA4","VZ6","VZ8","VZ9","WU1","WU3","WU4","WV1","WV3","WV4","WZ1","WZ3","WZ4","XE1","XE3","XE6","XR1","XR3","XR4","XZ1","XZ3","XZ4","YA1","YA3","YA4","YM1","YM4"
"D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriaceae;D_5__Eggerthella",9,34,0,0,0,0,0,0,34,0,0,88,271,21,40,116,141,19,555,3290,126,198,0,0,0,0,12,0,13,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriaceae;D_5__Enterorhabdus",40,6,0,0,0,0,0,0,24,0,0,0,0,0,12,0,0,31,0,0,0,0,0,0,0,0,118,0,26,0,0,0,11,0,0,0,0
"D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriaceae;D_5__Gordonibacter",36,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,2,3,1,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriaceae;D_5__Olsenella",5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriaceae;D_5__Paraeggerthella",0,0,0,0,0,0,0,0,0,0,0,161,610,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriaceae;D_5__Slackia",0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriaceae;D_5__uncultured",76,28,0,0,0,0,0,0,9,0,0,65,0,4,216,0,0,1,0,0,0,0,0,0,0,0,387,1,32,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides",934,2730,1,3,3,2,6,1,10823,18,2,317,3512,5208,1673,1851,4539,585,39,52,306,1556,7088,7,1,4,2192,160,48,1,0,5,1,2,1,2,2
"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Barnesiella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,9,26,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Butyricimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Coprobacter",24,31,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Odoribacter",4,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Parabacteroides",38,1795,0,0,0,0,0,0,362,1,0,0,0,1,91,0,0,114,266,16,15,18,130,0,0,0,109,6,0,0,0,1,0,0,0,0,0
"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__uncultured",4,15,0,0,0,0,0,0,46,0,0,4,4,34,96,1,356,0,1,0,5,23,13,0,0,0,69,0,1,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Paraprevotella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,3,21,0,0,0,69,14,9,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Prevotella",0,3,0,0,0,0,0,0,3,18042,0,0,3,0,1,0,1,0,0,0,5,0,0,0,1,0,1,1,0,0,0,1,2,0,0,0,0
"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__uncultured",2,0,0,2,1,0,0,0,140,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,1,0
"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae;D_5__Alistipes",3832,630,0,0,2,2,2,0,35,1,0,31,1654,2040,48,1,0,15,25,17,26,121,593,0,2,1,466,19,89,0,0,0,0,2,0,1,1
"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae;D_5__RC9 gut group",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__S24-7;D_5__mouse gut metagenome",0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__S24-7;D_5__uncultured bacterium",141,35,3,12,9,9,6,8,16,10,7,11,8,9,7,7,11,58,14,5,1,18,10,10,13,5,52,5,9,5,10,4,10,11,4,30,163
"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__S24-7;D_5__uncultured organism",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__S24-7;D_5__uncultured rumen bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__S24-7;D_5__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
