,y0,y2,y1,y5,y6,y4,y3,y12,y11,y13,y14,y9,y10,y8,y7,y24,y25,y23,y22,y26,y27,y28,y29,y18,y19,y20,y21,y17,y16,y15,y45,y46,y47,y43,y44,y41,y42,y49,y48,y50,y51,y52,y53,y54,y34,y35,y36,y37,y38,y39,y40,y33,y32,y31,y30,y67,y66,y68,y69,y62,y63,y65,y64,y61,y70,y71,y72,y73,y74,y75,y76,y56,y58,y57,y59,y60,y55,y88,y89,y86,y87,y91,y90,y93,y92,y81,y82,y83,y84,y85,y94,y95,y97,y96,y98,y99,y100,y79,y78,y80,y77,y105,y104,y108,y107,y106,y111,y110,y109,y102,y103,y112,y101,y114,y113,y115,y117,y116
103.CA2,6.017405301955934,1.300712183212413,-1.5830309733832126,1.1633617551872848e-15,0.3678692785121,0.1592500373865892,-1.8602937969531468,9.724288798798277e-15,1.0460542904975233e-17,0.47831699685967416,-0.22673869277616882,0.12668696465857582,0.8844267525838153,-0.8241347357276619,-0.20009435564215808,1.9953801606438088e-16,-1.5570547136755277e-15,-8.303316774332485e-17,1.3407962019892428e-15,-0.16569386813694534,1.1115082578272797,-0.6304353826704412,-0.388418099606046,-2.247749885866604,0.844719560134783,0.5909596401564524,-0.5706188868952873,0.4552160692508511,2.211113730180595,0.5659523030068887,4.2764217066327936e-16,4.6755460664031184e-17,1.0621713866892725e-15,-1.3122627042119966e-15,-2.4269293693269552e-15,-4.0649417284591123e-16,2.0152722236249016e-16,0.619969685657744,4.452869674633897e-16,-0.07562855768240967,1.1380444617808738,-0.30998484282887123,0.20273255405408244,-0.20009435564215694,-0.8057017083589278,0.1174457142755406,1.3759662619767385,0.7859967029970076,-1.375966261976737,-1.6405889685677755,0.43197605967972097,0.9736428898048739,2.472404207182987,4.414723191344737e-16,4.3695389698744455e-16,1.3407962019892428e-15,8.255690610589889e-16,-1.7099832006332956e-15,-2.6278327226637587e-15,2.3142486677422986e-16,6.640612650109515e-18,-1.2471030046477676e-15,4.445643147704915e-16,4.1769613917294755e-16,4.354702161652236e-16,0.5659523030068885,0.34657359027997225,8.824033676564028e-18,-0.49012907173427334,-0.776836199212094,0.5659523030068885,-0.7768361992120938,-0.7944144917481134,-0.731482740234793,-0.8494230498830708,-0.10900099103037192,0.6570502763589496,-4.4370542366410616e-16,2.2013284777158762e-16,2.2138751654965758e-16,-4.3189327340340174e-16,4.434280389310447e-16,8.815549488830994e-16,1.3407962019892428e-15,2.301701979961599e-16,4.3474137080780795e-16,-4.519679738525589e-16,4.4278951473432144e-16,2.1584871017932187e-16,2.1710337895739814e-16,2.0278189114056642e-16,-4.0650011525953107e-16,4.384816074877759e-16,-0.4901290717342733,-0.49012907173427334,-0.49012907173427406,4.015603266640367e-16,0.3957081185081896,0.28670712747781835,0.8489284545103319,-1.138044461780873,4.3569031458974236e-16,4.294169706993989e-16,4.1915952205025736e-16,4.397543537574641e-16,4.18645082954781e-16,4.3296657077163794e-16,2.2891552921808363e-16,4.4101471469815143e-16,-4.183063231065904e-16,4.508376586608349e-16,4.1142279528260407e-16,-0.49012907173427456,2.419823482568643e-16,2.0706602873280693e-16,4.472880585884949e-16,4.374651146258619e-16,4.455132585523754e-16
103.CO3,4.283537677437032,2.598426145544952,-3.6689942599348444,0.23944683449071258,0.6998031659580735,-0.9002490719252815,-0.7907558451359981,0.10187470111394159,0.24652087734308747,-0.4844185224274875,-1.1677578677215394,0.4799815249329371,0.08337671457438767,-0.02776172774045529,-1.5216411303289453e-15,2.7541914950042484e-16,0.24138145950752143,-0.02391584984298371,0.4011564883039349,-0.22526443299733295,0.2778770644568201,0.3885436157570846,0.7044304402465363,-1.4617560401599394,0.1224438113838676,1.1387600853596411,0.42240545019284287,-0.8343784562397211,1.1319046060137772,2.728169161650329e-16,4.758278587153306e-16,-3.830545070352948e-17,0.1599301120454254,0.22688567304722557,0.4244642272551638,-4.933219112668471e-16,-0.4485065887313476,-0.8248585220201065,-0.7768361992120928,-0.6806570191416789,1.2669652709463697,-0.5901111585538782,0.5493061443340539,-0.8923070962614935,-1.109178952634043,0.40042186577898486,0.9802581434685478,1.6218266024379173,-0.9802581434685473,-0.04076833947548805,0.37407412485550545,-0.834378456239722,4.842210697125884e-16,4.756593186413429e-16,4.940434920634414e-16,1.4454248264243054e-15,1.0936901834819719e-15,0.19078248242399792,0.5014456103799172,2.244538722546221e-16,0.34657359027997287,-1.5128420056418322e-15,0.4901290717342735,-0.776836199212092,1.3362444947855083,-0.8489284545103343,0.3465735902799728,2.012675845367575,4.968176109569211e-16,-0.7768361992120928,-1.261912797334757,1.2669652709463661,0.1918781781513825,0.8144963248464934,-0.05263169994703149,-0.6479153900466,1.0144588917382367,-5.285773301202138e-16,2.2641358160854084e-16,2.303169316121563e-16,-4.938840455749346e-16,4.523233029470329e-16,-0.2000943556421564,1.4454248264243054e-15,-0.4485065887313476,5.086096400191996e-16,-4.821579268598661e-16,0.49012907173427345,2.285459850242402e-16,2.3244933502786196e-16,-0.6570502763589516,-1.4703872152028175,4.980861530598117e-16,0.49012907173427367,-0.49012907173427356,1.3759662619767414,1.205438936236619,0.6479153900465995,0.8653399063494909,1.271087302318201,0.7768361992120938,4.988110932497446e-16,4.792943432316483e-16,4.975781806819577e-16,-0.2000943556421571,5.243169984704819e-16,5.113058317917342e-16,2.4872132772837916e-16,0.7768361992120957,-4.825354523918714e-16,5.241434773841949e-16,-1.1380444617808758,-0.6479153900465999,2.368225149515238e-16,-0.28297615150344385,4.982946651129866e-16,5.022775777660623e-16,0.4901290717342734
103.SR3,4.056505649895088,1.7140479185771982,0.7462289316862017,0.31429540223115476,0.6314816116462407,-0.12227084200709697,-0.6067222895508699,8.141817437958127e-15,0.6939454584729704,0.5622562488458159,-1.1708882169731991,-0.6223078566834068,-1.732163352926364,-1.0456965713422932,-1.0344728118818773,2.142514602039892e-16,-6.611810801768283e-16,1.5565989080988392e-17,0.6542580526131266,-0.26261856759649344,0.262137644263949,-0.6970252527221958,-0.2450645358671361,0.4321756666210119,1.2701780618605714,0.7601201537428359,-0.20009435564215713,2.21880393747839,1.8800528557247886,-1.4629654804695844,3.5791056236467587e-16,1.1628968223890264e-17,1.0537102264107538e-15,-1.0685640284598917e-15,-2.2336503551445054e-15,-3.660683813658617e-16,-0.7314827402347909,-0.24565717583785102,3.814211332672887e-16,-0.7320617502347329,1.8136930840611298,-0.7818428591281085,3.97055064622326e-18,-0.20009435564215722,-0.28670712747782046,-1.5804111947451263,-3.646617075400055e-16,1.4084515177073609,-1.1380444617808738,1.3398253513054839,-0.2829761515034443,-0.20009435564215772,-0.5516554064440217,3.566625490941815e-16,0.5734142549556379,1.1751911322123824e-15,7.795546940639402e-16,-1.4834046094254595e-15,-2.295110584974721e-15,1.6679271225474157e-16,1.3031675849388852e-17,-1.1924703157009504e-15,3.654768703990705e-16,-1.2669652709463621,-0.3171420502987824,1.7940263549253894,-0.3465735902799731,-0.6496414920651298,-0.4901290717342739,-0.4901290717342739,0.5659523030068891,0.7768361992120926,0.282976151503444,-1.1254753662039205,-1.3176138285095695,0.4901290717342736,-0.2829761515034445,-3.8555763576380385e-16,1.7214156131738646e-16,2.0238677321668517e-16,-3.618282617891832e-16,3.890223426505929e-16,7.183553909044603e-16,1.1751911322123824e-15,1.92058651586707e-16,3.7315969718580063e-16,-4.0166244232781164e-16,3.616645866937956e-16,1.6335000504474674e-16,1.9359521694403914e-16,0.8970131774626969,-3.586797443627177e-16,0.4901290717342731,3.94292265420914e-16,-1.6955680079708935,0.7768361992120942,3.6729429911171315e-16,-0.4901290717342737,0.17770613644744757,-1.0144588917382373,-0.4901290717342743,4.0192660310392866e-16,3.6172284606995075e-16,3.667510368198194e-16,3.8015228916446817e-16,3.9614991816983595e-16,3.6934741348052575e-16,1.618134396874146e-16,3.578523029885207e-16,-3.89797755340495e-16,4.0568062743302315e-16,4.016062496876743e-16,0.7768361992120923,2.1578802556133396e-16,1.7367812667473123e-16,3.980560600224734e-16,4.057388868092288e-16,3.942437763171985e-16
103.IE2,-2.9679476774933873,4.11740972931916,-0.863762776178216,0.9103348284648267,-0.6816789204509075,-0.4402988319732588,2.0463864209348936e-15,0.6105418950755533,-0.2118836253845894,-1.1765154060989125,0.7027197079965649,-1.3384881554933212,-0.5007939588890387,1.5222728690796759e-18,-1.5958327417750097e-15,2.7609243486762014e-16,0.6342170970354023,-1.2111641733162257,-1.4048806219400656,0.06737975847306281,-1.3038747316694912,-2.1724946068677484,-0.34193886087640996,-0.22503368617718983,-0.424464227255166,0.5252371351929843,5.165804128898461e-16,1.0975587609791474e-15,2.685893286748762e-16,2.685893286748762e-16,5.528960165537451e-16,0.6575771532880226,-0.3020445012065843,0.5139610358025193,1.0501336618704464,-1.8136930840611276,2.5303937381721823e-16,-1.2514307361547095,-1.0892591344989158,-0.9920793393907492,0.3957081185081915,1.1938678552693471,0.6931471805599446,-1.5054222817310743,-1.375966261976735,-0.9400264278623948,0.4901290717342732,1.5816823325548204e-15,-5.535571263937665e-16,-0.4913143516757025,2.400716078395771e-16,5.315866252767603e-16,5.274268765935863e-16,5.559150109280742e-16,5.499066086731463e-16,1.5991609660103442e-15,-0.12655078215459664,0.4737143346998925,0.35495219482302826,0.448506588731347,-1.556757654605184,0.282976151503443,1.375966261976737,5.571390193432579e-16,-0.1690240591698981,0.3093238924269222,0.752038698388136,-0.5493061443340558,1.6955680079708957,1.6955680079708952,-1.2800601534124034,-1.6281735335151442,2.8320530415972684e-16,2.6670438783428353e-16,-0.6342841005975642,5.064418484525555e-16,2.5507782022649123e-16,-5.168220692291756e-16,2.670946247356339e-16,-0.5659523030068898,-0.4901290717342741,0.3743125098198931,-0.517236405940941,0.5062031286183856,-0.6570502763589511,0.7768361992120935,0.41562793664331377,-0.49012907173427306,2.301847260922821e-16,-0.2829761515034448,0.6098923376649101,-1.4247515892586897,0.9802581434685467,-0.4901290717342743,0.7768361992120929,-5.588471891782157e-16,-1.23687107898615,5.559516680969815e-16,5.109330309362391e-16,1.7940263549253923,5.469467872968992e-16,5.423739159824248e-16,0.9802581434685472,-0.3171420502987827,-0.9174251172252552,0.4901290717342742,5.130570535135291e-16,1.1319046060137805,1.1380444617808732,-5.135196355606566e-16,-0.49012907173427306,0.7153098645023455,5.469242714641841e-16,0.8970131774626945,0.8970131774626935,5.31052673777489e-16,5.230585019269432e-16,-0.9802581434685472
103.BP1,4.604773342970883,2.2914943446417584,-3.7614511870514282,0.36475817596209437,0.5891384151157468,-1.509286756855977,-0.3140556051849101,9.807119939029214e-15,0.08948491622597689,0.22357096468906312,-0.06513486207974534,0.7109518579941524,-1.1779356848481306,-0.7679407185984676,-0.20009435564215822,2.236245585524401e-16,-1.2260541304556882e-15,-0.023915849842983776,0.2531015643091934,-0.6627754725477749,0.9348812041779425,0.5761639611196367,0.3884180996060459,-2.370857866426971,0.5518691920875184,-0.09404593216873082,-0.11704769465662501,1.8810629132724899,2.5116454795223807e-16,-0.28297615150344413,4.681610212036021e-16,6.763853861546423e-17,1.3098786564610407e-15,0.22688567304722596,-0.14148807575172428,-4.653827000151406e-16,-0.2829761515034438,0.15499242141443603,4.314760292192805e-16,-1.181890003075358,0.4901290717342736,1.2491605968820685,-0.34657359027997253,-0.9174251172252542,-2.18569707970517,1.0311244012144551,-0.8513373343030524,-0.04626624203710591,-0.2867071274778186,-1.6886141860041073,0.683398017282429,4.882859675320568e-16,1.3235640123268553,4.4171536315844016e-16,0.49012907173427384,1.3888298833396578e-15,8.92759519008543e-16,-1.8265693923493557e-15,-2.725624410256291e-15,2.2707393799944287e-16,-0.3465735902799722,0.2829761515034425,4.801868232137454e-16,-0.49012907173427395,0.2000943556421571,-1.1055568650902983,-3.2477832667997083e-17,-3.721118468799984e-17,0.9802581434685473,-0.4901290717342734,0.8970131774626955,0.49012907173427384,-0.4633536172923058,0.20854368762760106,2.692276278674417,-0.776836199212093,2.2055233459433654e-16,-4.759597221578556e-16,2.380413118988509e-16,2.244869034141955e-16,-4.776844118813665e-16,4.827799856116456e-16,8.750662603591882e-16,1.3888298833396578e-15,2.4062834648410456e-16,4.50914123968443e-16,-0.49012907173427306,4.59420027995091e-16,2.644461492714247e-16,0.5659523030068887,-0.5659523030068885,-0.3612082625687788,4.468179963915617e-16,4.459556515298126e-16,-0.776836199212093,0.776836199212093,-1.6174545810400668e-16,0.39570811850818866,0.3612082625687783,1.8718051349996692,4.835221409937447e-16,4.515884057027995e-16,4.638492968948312e-16,4.511261384670675e-16,4.65542891813472e-16,4.840593549700986e-16,4.552258482772643e-16,2.5418275496875994e-16,4.3865323277643653e-16,-4.736894181026327e-16,4.4284741249426317e-16,-0.9802581434685459,-0.4901290717342734,2.389036567606063e-16,2.533204101070108e-16,4.819034928156879e-16,4.472766813940287e-16,4.3070406589322615e-16
103.VC2,0.5346369373196513,3.977446911728399,-2.967416823288123,0.6205459867028923,0.32666268075074545,-1.7918305526259326,2.0532968983582087e-15,0.2825704304520814,-0.14183023659834731,0.7560303100220213,0.018490108457360155,-0.692490715028691,0.7470082087308597,2.5700746689409e-17,-1.5798636993184176e-15,2.585080464586116e-16,0.6695211094647584,-0.5238829686004148,-0.12655078215459534,-0.2907740983786435,0.8779432818527924,1.4109520588215025,0.36820954859199645,-1.2804139063733617,-0.6246751601446587,0.7597001720073236,-1.0648877729203796,9.168212637210801e-16,2.6537661258196443e-16,2.6537661258196443e-16,5.434435612687591e-16,9.808587272066918e-17,1.0148704286545422,0.6050284614592708,0.20021093288949052,0.49012907173427384,-0.2829761515034433,-0.27199426327024834,-0.9802581434685468,-2.2562195837870846,0.4901290717342737,-0.4790199726651812,-0.34657359027997203,-1.5352090050143437,-0.9802581434685481,1.9281375786771524,0.2867071274778208,-2.0770025064288387,-5.021196461978068e-16,-0.7106344400811587,0.46517209820756733,5.083917268549907e-16,5.276787015712699e-16,5.4772177769712e-16,5.508747496366729e-16,1.5982986241099703e-15,9.962426090568065e-16,0.19078248242399776,0.6435059816930538,-0.2829761515034429,-0.6931471805599467,0.44850658873134597,0.4901290717342734,-0.49012907173427384,-1.1515205065385021,0.6288840545202073,0.8047189562170491,1.4765863295675992,0.2034219442564536,0.28670712747781985,-2.1711133959685895,-0.4901290717342731,1.1799893289661407,-0.28297615150344363,-0.9174251172252544,-1.4703872152028223,2.7539815064489067e-16,-4.975311798781626e-16,2.6909220676580696e-16,2.8654493319637448e-16,-4.980938021224305e-16,4.955107595872529e-16,0.4001887112843148,-0.34863316814670814,-0.165530437227904,0.49012907173427334,0.49012907173427456,-0.4901290717342739,2.650815414820603e-16,-0.4485065887313468,-0.28297615150344374,-1.6626733894545533,5.179857417134188e-16,-1.1380444617808763,-0.2867071274778198,-1.0790847606738216,1.2265481689182676,2.0438014701584617,-0.4901290717342731,1.2493503202893186,5.145041915687935e-16,5.460339109640338e-16,5.14281430042454e-16,5.856338209449277e-16,5.407068300208715e-16,0.49012907173427334,0.7768361992120959,-0.28297615150344285,0.286707127477819,-5.312838682951701e-16,-0.7768361992120915,0.49012907173427245,0.7768361992120936,2.9712909350356905e-16,2.522021025795137e-16,-0.4901290717342739,5.168717797377287e-16,5.194621294330287e-16
103.SA2,3.8891100688540634,0.8233370312229483,-0.021737757941241418,4.604974484224257e-16,0.5277072704585314,1.3866554608668822,0.6568769920725358,6.13684426065126e-15,8.404098895196269e-17,0.3348218978017726,0.46432712152865124,-0.5492668295146067,0.14904949664554193,-1.0223092316067586,-1.2790666357710494,1.2186468151204078e-16,-6.243449191111199e-16,-9.114493432051627e-17,8.264940037758936e-16,-1.0786372281521653e-15,-0.18525137630454594,0.2626185675964921,0.3467755079953634,-0.2220823859921137,-0.37891524057913584,0.7069803664423855,-0.5957369078590478,-0.10054748184815254,-0.28297615150344424,0.5743700917579884,2.7162574170132765e-16,1.004190172737081e-17,8.309450619930318e-16,-8.322403836444047e-16,-1.681017835932317e-15,-2.65321176577362e-16,1.1611204428697018e-16,2.675151321295842e-16,2.648557353494647e-16,0.4537713460944534,-2.711501077766291e-16,-0.2456571758378513,-0.5493061443340543,-0.6002830669264715,-1.2669652709463666,-1.8993462598109356e-16,3.398723250700423e-16,-0.3740741248555058,-0.9802581434685468,0.11364252947135128,-0.34590790301676505,2.1364926799949613,-0.2867071274778203,-0.4901290717342736,0.7768361992120922,8.264940037758936e-16,5.354092947173692e-16,-1.0285715739802393e-15,-1.603050126396931e-15,1.203736184765358e-16,3.292383216448153e-17,-8.685848123760083e-16,2.8557922562170714e-16,2.7263335221110853e-16,2.7637613053918433e-16,1.3646276880009656e-16,0.6931471805599465,-0.5493061443340541,-0.7768361992120927,2.736823411866264e-16,-1.722125500784976e-16,-3.58258942443147e-16,-0.6570502763589495,-0.2829761515034443,-0.653665547880819,-2.152802461188832,0.8970131774626958,-2.694215999250007e-16,1.5979561938423288e-16,1.4924749136879345e-16,-2.686760684072482e-16,2.9692292162264504e-16,5.916146826127563e-16,8.264940037758936e-16,1.3092174649197524e-16,2.790810568788525e-16,-2.6643947385399074e-16,2.837153968273007e-16,1.5127247100510162e-16,1.407243429896622e-16,1.6107506750278857e-16,-2.642028793007333e-16,2.7966543755446976e-16,0.980258143468548,-0.7768361992120926,-2.6214018228702207e-16,-0.9802581434685468,-1.1380444617808734,-0.4901290717342738,0.6098923376649116,2.760118381985225e-16,2.7626008164977583e-16,2.7348957049570886e-16,2.469683410461235e-16,2.848992789183156e-16,2.698123769819814e-16,2.772172280844713e-16,1.4146987450741467e-16,2.8185156803291947e-16,-2.660667080951145e-16,2.6059416116011995e-16,2.698628410570668e-16,-1.6955680079708946,1.3166727800972772e-16,1.6959821588191983e-16,2.8462207918698644e-16,2.7812391044415705e-16,2.8275825039260523e-16
103.GB2,4.819356862422339,2.207842232182436,-3.200901230775893,0.1671808306492948,0.9902949034196803,-0.24358637780485595,-1.1168434911986493,0.03941051411211481,-0.17896983245195336,1.3237000574663138,-1.1553379803450363,-0.9187060400889102,-0.40666242875454806,-1.4237016888127494,-1.3570531657151991e-15,2.4306192987155737e-16,0.0933790952248545,0.3348218978017733,1.3319878584156062e-15,-1.8882977365319087e-15,-0.7323811825629771,0.25100527840229353,-0.4901290717342726,-0.9518718402543592,-0.8896363254627342,0.6075911907859578,-1.5596186203843323,0.6015689271131105,2.0408298287948253e-16,2.0408298287948253e-16,4.467270695208946e-16,8.834092004450241e-17,-0.13561174723193867,-1.3256288598886409e-15,0.282976151503443,-4.835430002132325e-16,2.393094485298189e-16,5.028616119644393e-16,4.681859800543748e-16,-0.10391860843001324,1.2669652709463666,0.31350628250034,0.5493061443340553,-0.3171420502987816,-2.4935134398646412,1.1972592031574159,-0.4901290717342721,-0.1821959467041246,-1.75709434268064,-1.182492456380396,-0.8601140388830939,2.085396333848179,0.36120826256877925,4.508957500798369e-16,4.4202394230922396e-16,1.3319878584156062e-15,9.11915734206858e-16,0.19078248242399887,-2.841509736666321e-15,2.510867142956128e-16,1.3939322937789117e-17,0.28297615150344213,-0.490129071734273,4.654894762296248e-16,4.769768820883064e-16,-0.16553043722790398,0.11157177565710497,0.12565721414045306,0.4901290717342733,-0.28670712747782057,0.897013177462696,-1.5536723984241876,-1.5970767042213447,0.2829761515034442,-0.7262137742904284,2.063175470604428,-0.282976151503444,-4.638980929321028e-16,2.2948699488925404e-16,2.324442641461274e-16,-4.426627614812428e-16,5.262590005873075e-16,-0.2000943556421564,1.3319878584156062e-15,2.4812944503873943e-16,4.621142986319132e-16,-4.799476617802262e-16,4.744778223121404e-16,2.209795750741454e-16,0.5659523030068893,2.4226671778669226e-16,-0.28670712747781885,-1.5107225792561994e-16,1.1380444617808716,-1.375966261976739,4.928162260235477e-16,4.603771352968353e-16,0.49012907173427206,-0.49012907173427434,-1.027021368783677,-0.49012907173427334,4.590905932011471e-16,4.443042469167803e-16,4.535794934654382e-16,-0.20009435564215763,4.373872512714587e-16,4.645371212360527e-16,2.451721757818661e-16,4.7690064491628e-16,-4.693299960548026e-16,4.868413459923677e-16,4.507031299452833e-16,0.34823346218756396,2.1886932916382407e-16,0.5659523030068896,4.361758399693889e-16,4.566677705970328e-16,4.690312942772853e-16
103.CO2,-1.5607388171636558,2.2499162686792555,-2.257726141789123,3.311994160176996,-2.0599377319175156,-1.1669984083571805,2.662455960206689e-15,0.4759535115168644,-0.2032018821054998,1.371924163097422,-0.592956318969965,-2.211122291378908,-0.8655596901504892,-8.264599924722929e-17,-1.8555024812202004e-15,2.969111628441482e-16,1.1277221136500348,1.2183832876549243,0.7920264267549586,-0.06579961841693381,-0.06009510553660321,0.6338612807479412,-0.7768361992120922,-0.3169185331870369,-1.6102505746830842,-1.4953338021552212,-0.20009435564215686,1.3603788635485248e-15,3.5498094044809265e-16,3.5498094044809265e-16,6.916221988229245e-16,-4.7008071863642376e-17,-0.16104297178916985,-1.1478582181027714,-0.0880819405413419,-0.9802581434685496,1.0856383639766745,0.2600884278809418,-1.5536723984241905,-2.15292856182475,0.7768361992120907,1.6606346856444418,3.9125055887100524e-17,-0.40018871128431355,-1.101250611943195e-15,1.8633873462485682,-0.1577863183123252,-0.44850658873134525,-2.2760889235617445,0.37431250981989195,-0.2829761515034437,6.552924560510972e-16,6.06297529817277e-16,6.899535711508647e-16,6.182006629822038e-16,1.9028705324416815e-15,1.2495439808379133e-15,0.3443500933805316,-0.8703458859236326,-0.8614909315557735,0.34657359027997403,0.6925725222658773,-2.0820327689585905,-1.3759662619767414,-0.46460470599390785,0.8584097977573464,-0.693147180559946,1.4166066720281072,-1.26696527094637,-1.26696527094637,-0.5659523030068891,1.2669652709463635,-0.4485065887313467,3.736699371031541e-16,-0.31714205029878095,-0.4901290717342732,3.4129780988362866e-16,-6.355281779807762e-16,3.737813237586872e-16,2.8667665735239186e-16,-6.150591669972636e-16,-0.4006495972522886,-0.9818411119348476,-0.4751839503013042,3.466210341169916e-16,2.4724042071829806,-0.4901290717342736,2.15257995482692e-17,-0.6959604943278699,-2.237461471104068,0.4651720982075679,-0.706066506981848,2.1183026052494225,-1.1380444617808774,6.412512552070796e-16,-2.003384368130363,2.3107697241506567e-17,0.7768361992120931,6.886191203724472e-16,0.8970131774626947,6.91733568550405e-16,6.40338301637773e-16,6.317724238191904e-16,-0.51723640594094,1.0871045118289073,6.345353304105503e-16,1.2669652709463606,0.2829761515034459,6.651174473836881e-16,2.18569707970517,-0.9346225175244192,-1.4703872152028248,6.036301013697133e-16,-0.7314827402347929,-0.6570502763589509,0.49012907173427295,-0.28670712747782046,1.1380444617808676
103.KP1,2.5900532893722117,3.087355571988965,-2.738529233953209,0.7686583201515441,-0.33603685080655926,-1.6813087753079954,-0.5876223611027817,9.870272454692638e-15,0.15016212385016958,-0.39293147284935076,-0.1891000082094732,0.12139828082654486,0.4583286479887609,-0.7490744714716376,-1.3314670725682125e-15,2.433115885588814e-16,-1.2099475777855265e-15,0.7235380834464916,-0.12655078215459561,-1.0296623773747644,-0.06992197436544308,-2.3561432327172733,-0.022817812972064606,-1.9943285368388883,0.34343971316184824,-0.8910094558055691,-1.151520506538504,0.2831410166276897,2.3847681370777845e-16,2.3847681370777845e-16,4.4302736454880716e-16,-1.472858212005146e-17,1.4918940806661078e-15,-1.2753171987707158e-15,1.2685515660418656,0.4901290717342736,-0.2829761515034437,-1.3506420135829666,0.49012907173427367,-0.9774849279632685,-0.15778631831232465,-0.24565717583785127,-0.6931471805599448,-0.7817467562926903,-1.3343597454021168,0.44850658873134797,-0.8858371902424635,-0.9931203951392003,0.7768361992120938,0.21932008840545603,-0.2829761515034446,1.5517092178228182,0.980258143468547,4.431161240996327e-16,4.2135963727352107e-16,1.3187015300245411e-15,8.906169318547343e-16,-1.8406977005681397e-15,-2.6749782074090687e-15,2.0964568370031197e-16,-1.916158030697478e-17,0.28297615150344285,0.6479153900465979,-0.490129071734274,0.32527428199879677,-0.1174457142755408,0.20273255405408225,0.5493061443340557,0.4901290717342731,0.4901290717342737,-1.1055568650902983,-0.7768361992120932,2.0920924676303816,-0.11744571427554094,0.28314101662769,0.49012907173427267,2.0349566799763934e-16,-4.548206048492799e-16,1.9988737445323958e-16,2.071395367286117e-16,-4.3798765241999833e-16,4.304869251929958e-16,9.262590756751288e-16,1.3187015300245411e-15,2.0239352142494615e-16,4.448234351478998e-16,-4.4299994636339886e-16,4.3989990075107755e-16,2.2656739567616555e-16,-0.2829761515034437,0.6488025556338313,-1.7570943426806411,0.49012907173427367,-0.7768361992120932,4.563904721576799e-16,0.7768361992120928,-0.36120826256878064,-0.6479153900466001,-0.20342194425645455,0.8970131774626958,4.200623624299499e-16,4.3810383015198496e-16,4.573541700063948e-16,4.83567965634867e-16,4.956549027604893e-16,4.546705039415442e-16,4.3049662969031215e-16,1.9514135914957403e-16,4.2557309529348995e-16,-4.623390457643744e-16,0.49012907173427317,-1.6281735335151488,4.514263543498415e-16,2.1922647385422771e-16,2.313134109798437e-16,4.61833906670338e-16,4.524306356095726e-16,4.475071012127504e-16
